table_id,metric_name,route_or_scope,denominator_id,source_artifact,recompute_input_level,formula_used,recomputed_value,retained_value,comparison_status,difference,tolerance,notes
Table 10,pool x axis cases covered,PORT:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PORT:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,4,4,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PORT:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,rewrite_opportunity:primary:dialect_adaptation:9|rewrite_opportunity:secondary:function_normalization:5|rewrite_opportunity:secondary:expression_simplification:4|rewrite_opportunity:secondary:order_limit_simplification:3,rewrite_opportunity:primary:dialect_adaptation:9|rewrite_opportunity:secondary:function_normalization:5|rewrite_opportunity:secondary:expression_simplification:4|rewrite_opportunity:secondary:order_limit_simplification:3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PORT:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PORT:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PORT:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,plan_operator:present:scan:9|plan_operator:present:filter:7|plan_operator:present:aggregate:5|plan_operator:present:join:4|plan_operator:present:limit:3,plan_operator:present:scan:9|plan_operator:present:filter:7|plan_operator:present:aggregate:5|plan_operator:present:join:4|plan_operator:present:limit:3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PORT:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PORT:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,3,3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PORT:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,workload_realism:source_inherited:realistic_query_style:9|workload_realism:case_specific:complex_expression_density:4|workload_realism:case_specific:result_size_sensitivity:3,workload_realism:source_inherited:realistic_query_style:9|workload_realism:case_specific:complex_expression_density:4|workload_realism:case_specific:result_size_sensitivity:3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,PORT:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,PORT:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,7,7,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,PORT:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,portability:confirmed:identifier_quoting:9|portability:confirmed:type_semantics_gap:6|portability:confirmed:datetime_semantics_gap:5|portability:confirmed:limit_fetch_gap:3|portability:confirmed:boolean_semantics_gap:2,portability:confirmed:identifier_quoting:9|portability:confirmed:type_semantics_gap:6|portability:confirmed:datetime_semantics_gap:5|portability:confirmed:limit_fetch_gap:3|portability:confirmed:boolean_semantics_gap:2,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool count,LONGTAIL,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases in pool,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,LONGTAIL:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,LONGTAIL:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,LONGTAIL:sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,sql_feature:primary:cte:5|sql_feature:primary:window_function:3|sql_feature:secondary:expression_complexity:3|sql_feature:primary:outer_join:2|sql_feature:secondary:outer_join:2,sql_feature:primary:cte:5|sql_feature:primary:window_function:3|sql_feature:secondary:expression_complexity:3|sql_feature:primary:outer_join:2|sql_feature:secondary:outer_join:2,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,LONGTAIL:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,LONGTAIL:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,5,5,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,LONGTAIL:rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,rewrite_opportunity:secondary:aggregation_rewrite:5|rewrite_opportunity:primary:cte_strategy:4|rewrite_opportunity:primary:expression_simplification:1|rewrite_opportunity:primary:materialization_strategy:1|rewrite_opportunity:secondary:cte_strategy:1,rewrite_opportunity:secondary:aggregation_rewrite:5|rewrite_opportunity:primary:cte_strategy:4|rewrite_opportunity:primary:expression_simplification:1|rewrite_opportunity:primary:materialization_strategy:1|rewrite_opportunity:secondary:cte_strategy:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,LONGTAIL:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,LONGTAIL:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,8,8,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,LONGTAIL:plan_operator,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,plan_operator:present:aggregate:6|plan_operator:present:join:6|plan_operator:present:scan:6|plan_operator:present:sort:6|plan_operator:present:subquery:6,plan_operator:present:aggregate:6|plan_operator:present:join:6|plan_operator:present:scan:6|plan_operator:present:sort:6|plan_operator:present:subquery:6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,LONGTAIL:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,LONGTAIL:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,LONGTAIL:workload_realism,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,workload_realism:source_inherited:realistic_query_style:6|workload_realism:case_specific:long_tail_structure:4|workload_realism:source_inherited:manual_gap_fill_realism:3|workload_realism:case_specific:complex_expression_density:2|workload_realism:case_specific:high_join_count:1,workload_realism:source_inherited:realistic_query_style:6|workload_realism:case_specific:long_tail_structure:4|workload_realism:source_inherited:manual_gap_fill_realism:3|workload_realism:case_specific:complex_expression_density:2|workload_realism:case_specific:high_join_count:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis cases covered,LONGTAIL:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count pool cases with axis tag,2,2,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis distinct tags,LONGTAIL:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct pool axis tags,2,2,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 10,pool x axis top tags,LONGTAIL:portability,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 pool axis tags,portability:suspected:datetime_semantics_gap:1|portability:suspected:null_semantics_gap:1,portability:suspected:datetime_semantics_gap:1|portability:suspected:null_semantics_gap:1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 13,hard_negative_planned,package guardrail,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,count rows,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 13,hard_negative_tested,package guardrail,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,negative_applicable and negative_executed rows,111,111,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 13,hard_negative_not_applicable,package guardrail,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,planned - tested,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 13,executable_semantic_mismatch,package guardrail,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,rejection_mode == executable_semantic_mismatch,111,111,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 13,execution_failure_rejection,package guardrail,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,rejection_mode == execution_failure_rejection,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 13,checker_failure,package guardrail,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,checker_failure true,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 13,hard_negative_false_accept,package guardrail,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,false_accept true,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 13,per-pool split,CONS,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,group by pool,planned=27;tested=27;not_applicable=0;rejected=27;false_accept=0,planned=27;tested=27;not_applicable=0;rejected=27;false_accept=0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,No separate per-pool retained CSV found; deterministic ledger aggregation retained here.
Table 13,per-pool split,LONGTAIL,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,group by pool,planned=18;tested=18;not_applicable=0;rejected=18;false_accept=0,planned=18;tested=18;not_applicable=0;rejected=18;false_accept=0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,No separate per-pool retained CSV found; deterministic ledger aggregation retained here.
Table 13,per-pool split,PERF,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,group by pool,planned=48;tested=48;not_applicable=0;rejected=48;false_accept=0,planned=48;tested=48;not_applicable=0;rejected=48;false_accept=0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,No separate per-pool retained CSV found; deterministic ledger aggregation retained here.
Table 13,per-pool split,PORT,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv,hard-negative ledger,group by pool,planned=27;tested=18;not_applicable=9;rejected=18;false_accept=0,planned=27;tested=18;not_applicable=9;rejected=18;false_accept=0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,No separate per-pool retained CSV found; deterministic ledger aggregation retained here.
Table 14,planned,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained planned bucket,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,generated_or_ready,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained generated_or_ready bucket,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,executed,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained executed bucket,99,99,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,exact,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained exact bucket,94,94,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,preflight_blocked,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained preflight_blocked bucket,5,5,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,execution_failed,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained execution_failed bucket,16,16,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,mismatch,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained mismatch bucket,5,5,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,noop_or_source_like,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained noop_or_source_like bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,unsupported,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained unsupported bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,parse_failed,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained parse_failed bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,generation_failed,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained generation_failed bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,non_exact_frontier identity,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,planned - exact,26,26,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,executed identity,direct_llm:direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,exact + mismatch for executed semantics,99,99,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,Direct LLM repair ready_after_preflight is not executed.
Table 14,planned,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained planned bucket,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,generated_or_ready,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained generated_or_ready bucket,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,executed,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained executed bucket,97,97,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,exact,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained exact bucket,96,96,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,preflight_blocked,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained preflight_blocked bucket,5,5,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,execution_failed,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained execution_failed bucket,18,18,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,mismatch,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained mismatch bucket,1,1,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,noop_or_source_like,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained noop_or_source_like bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,unsupported,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained unsupported bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,parse_failed,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained parse_failed bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,generation_failed,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained generation_failed bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,non_exact_frontier identity,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,planned - exact,24,24,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,executed identity,direct_llm:direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,exact + mismatch for executed semantics,97,97,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,Direct LLM repair ready_after_preflight is not executed.
Table 14,planned,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained planned bucket,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,generated_or_ready,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained generated_or_ready bucket,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,executed,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained executed bucket,72,72,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,exact,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained exact bucket,72,72,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,preflight_blocked,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained preflight_blocked bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,execution_failed,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained execution_failed bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,mismatch,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained mismatch bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,noop_or_source_like,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained noop_or_source_like bucket,24,24,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,unsupported,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained unsupported bucket,18,18,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,parse_failed,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained parse_failed bucket,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,generation_failed,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,retained generation_failed bucket,0,0,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 14,non_exact_frontier identity,sqlglot:sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure row,planned - exact,48,48,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
